serie,hour,day,month,value
15,02,06,05,23.4002
15,02,07,05,22.6276
15,02,08,05,23.34
15,02,09,05,23.2318
15,02,10,05,23.6804
15,02,11,05,23.56
15,02,12,05,23.195
15,02,13,05,21.445
15,02,14,05,21.3515
15,02,15,05,21.8845
15,02,16,05,22.7516
15,02,17,05,23.4537
15,02,18,05,23.2588
15,02,19,05,22.3905
15,02,20,05,22.0851
15,02,21,05,21.6795
15,02,22,05,22.2578
15,02,23,05,23.6876
15,02,24,05,23.1193
15,02,25,05,22.4056
15,02,26,05,21.7379
15,02,27,05,21.6696
15,02,28,05,21.5816
15,02,29,05,21.5036
15,02,30,05,21.3081
15,02,31,05,21.4087
15,02,01,06,21.58
15,02,02,06,21.96
15,02,03,06,22.2911
15,02,04,06,21.7045
15,02,05,06,21.1717
15,02,06,06,21.2487
15,02,07,06,21.4843
15,02,08,06,21.4533
15,02,09,06,21.2352
15,02,10,06,21.004
15,02,11,06,20.9205
15,02,12,06,21.7733
15,02,13,06,23.3175
15,02,14,06,24.5771
15,02,15,06,25.8452
15,02,16,06,26.9864
15,02,17,06,28.1619
15,02,18,06,28.8952
15,02,19,06,29.4727
15,02,20,06,29.1755
15,02,21,06,28.9176
15,02,22,06,29.8722
15,02,23,06,30.2568
15,02,24,06,31.3061
15,02,25,06,30.3835
15,02,26,06,29.8099
15,02,27,06,29.3662
15,02,28,06,29.2407
15,02,29,06,29.2316
15,02,30,06,28.6308
15,02,01,07,27.0163
15,02,02,07,26.7069
15,02,03,07,26.6063
15,02,04,07,26.5233
15,02,05,07,26.3915
15,02,06,07,26.7
15,02,07,07,28.7
15,02,08,07,28.9133
15,02,09,07,28.9682
15,02,10,07,29.7802
15,02,11,07,29.7508
15,02,12,07,29.3107
15,02,13,07,29.3569
15,02,14,07,29.4015
15,02,15,07,29.2714
15,02,16,07,28.36
15,02,17,07,28.4739
15,02,18,07,28.8153
15,02,19,07,28.6153
15,02,20,07,28.5682
15,02,21,07,28.8424
15,02,22,07,29.6159
15,02,23,07,30.0727
15,02,24,07,29.9537
15,02,25,07,29.7094
15,02,26,07,29.4489
15,02,27,07,29.4286
15,02,28,07,29.4725
15,02,29,07,29.4234
15,02,30,07,31.978
15,02,31,07,31.725
15,02,01,08,31.5687
15,02,02,08,31.4014
15,02,03,08,31.5542
15,02,04,08,31.8954
15,02,05,08,32.2134
15,02,06,08,32.5302
15,02,07,08,32.4468
15,02,08,08,31.9029
15,02,09,08,31.4125
15,02,10,08,30.5672
15,02,11,08,30.1028
15,02,12,08,29.6128
15,02,13,08,29.5493
15,02,14,08,30.5939
15,02,15,08,30.8072
15,02,16,08,30.7373
15,02,17,08,31.4396
15,02,18,08,31.5321
15,02,19,08,31.4894
15,02,20,08,31.2781
15,02,21,08,31.3614
15,02,22,08,31.7338
15,02,23,08,32.1206
15,02,24,08,31.8649
15,02,25,08,31.6758
15,02,26,08,31.4324
15,02,27,08,31.2613
15,02,28,08,31.2313
15,02,29,08,30.7632
15,02,30,08,30.3136
15,02,31,08,30.6538
15,02,01,09,31.0482
15,02,02,09,31.5982
15,02,03,09,31.443
15,02,04,09,30.2798
15,02,05,09,29.2435
15,02,06,09,28.3675
15,02,07,09,28.1637
15,02,08,09,28.185
15,02,09,09,28.0361
15,02,10,09,27.8856
15,02,11,09,28.0124
15,02,12,09,28.3754
15,02,13,09,28.7914
15,02,14,09,28.9603
15,02,15,09,28.7116
15,02,16,09,28.4973
15,02,17,09,28.3269
15,02,18,09,28.2906
15,02,19,09,28.288
15,02,20,09,28.4656
15,02,21,09,28.6716
15,02,22,09,28.7496
15,02,23,09,25.7838
15,02,24,09,25.5871
15,02,25,09,25.689
15,02,26,09,25.9636
15,02,27,09,26.3667
15,02,28,09,26.4478
15,02,29,09,26.1948
15,02,30,09,26.5734
15,02,01,10,26.2961
15,02,02,10,26.3059
15,02,03,10,26.3402
15,02,04,10,27.0364
15,02,05,10,26.2483
15,02,06,10,26.1115
15,02,07,10,26.301
15,02,08,10,25.9843
15,02,09,10,25.06
15,02,10,10,24.5963
15,02,11,10,24.4917
15,02,12,10,23.8179
15,02,13,10,23.8779
15,02,14,10,23.3261
15,02,15,10,22.3824
15,02,16,10,21.6875
15,02,17,10,21.3385
15,02,18,10,21.9064
15,02,19,10,20.8652
15,02,20,10,20.5205
15,02,21,10,20.5404
15,02,22,10,21.9266
15,02,23,10,22.6965
15,02,24,10,22.9098
15,02,25,10,22.896
15,02,26,10,22.013
15,02,27,10,20.8134
15,02,28,10,18.491
15,01,29,10,19.427
15,01,30,10,20.6975
15,01,31,10,21.2825
15,01,01,11,18.8935
15,01,02,11,18.8886
15,01,03,11,18.7245
15,01,04,11,18.0192
15,01,05,11,19.4858
15,01,06,11,20.6948
15,01,07,11,21.1179
15,01,08,11,22.1947
15,01,09,11,22.9433
15,01,10,11,20.4081
15,01,11,11,19.6536
15,01,12,11,21.231
15,01,13,11,22.4062
15,01,14,11,23.2527
15,01,15,11,23.5776
15,01,16,11,22.8317
15,01,17,11,21.62
15,01,18,11,19.8071
15,01,19,11,20.9146
15,01,20,11,21.5824
15,01,21,11,22.0833
15,01,22,11,21.8783
15,01,23,11,20.9593
15,01,24,11,19.2929
15,01,25,11,18.0962
15,01,26,11,17.7778
15,01,27,11,19.7368
15,01,28,11,20.2991
